Day 1 (Open),Day 2 (Open),Day 3 (Open),Day 4 (Open),Day 5 (Open),Day 1 (High),Day 2 (High),Day 3 (High),Day 4 (High),Day 5 (High),Day 1 (Low),Day 2 (Low),Day 3 (Low),Day 4 (Low),Day 5 (Low),Day 1 (Close),Day 2 (Close),Day 3 (Close),Day 4 (Close),Day 5 (Close),Day 1 (Volume),Day 2 (Volume),Day 3 (Volume),Day 4 (Volume),Day 5 (Volume),Day 6 (Open),Day 6 (High),Day 6 (Low),Day 6 (Volume),Day 6 (Close)
238.570007,228.25,220,219.720001,233.380005,238.960007,232.470001,230.990005,229.919998,234.770004,221,223,217.320007,219.100006,226.550003,224.589996,227.059998,229.699997,226.350006,227.479996,11268700,7105300,9147300,5399300,10549400,226.720001,232.399994,225.509995,230.470001,3494400
228.25,220,219.720001,233.380005,226.720001,232.470001,230.990005,229.919998,234.770004,232.399994,223,217.320007,219.100006,226.550003,225.509995,227.059998,229.699997,226.350006,227.479996,230.470001,7105300,9147300,5399300,10549400,3494400,234.270004,235.389999,230.800003,235.339996,4130300
220,219.720001,233.380005,226.720001,234.270004,230.990005,229.919998,234.770004,232.399994,235.389999,217.320007,219.100006,226.550003,225.509995,230.800003,229.699997,226.350006,227.479996,230.470001,235.339996,9147300,5399300,10549400,3494400,4130300,233.190002,237.389999,230.559998,231.100006,4116600
219.720001,233.380005,226.720001,234.270004,233.190002,229.919998,234.770004,232.399994,235.389999,237.389999,219.100006,226.550003,225.509995,230.800003,230.559998,226.350006,227.479996,230.470001,235.339996,231.100006,5399300,10549400,3494400,4130300,4116600,234.660004,236.279999,232,235.289993,3492400
233.380005,226.720001,234.270004,233.190002,234.660004,234.770004,232.399994,235.389999,237.389999,236.279999,226.550003,225.509995,230.800003,230.559998,232,227.479996,230.470001,235.339996,231.100006,235.289993,10549400,3494400,4130300,4116600,3492400,236.270004,237.800003,231.199997,235.240005,3463300
226.720001,234.270004,233.190002,234.660004,236.270004,232.399994,235.389999,237.389999,236.279999,237.800003,225.509995,230.800003,230.559998,232,231.199997,230.470001,235.339996,231.100006,235.289993,235.240005,3494400,4130300,4116600,3492400,3463300,234.25,234.610001,220.309998,221.669998,9553300
234.270004,233.190002,234.660004,236.270004,234.25,235.389999,237.389999,236.279999,237.800003,234.610001,230.800003,230.559998,232,231.199997,220.309998,235.339996,231.100006,235.289993,235.240005,221.669998,4130300,4116600,3492400,3463300,9553300,229.600006,244.600006,228.25,242.770004,10516300
233.190002,234.660004,236.270004,234.25,229.600006,237.389999,236.279999,237.800003,234.610001,244.600006,230.559998,232,231.199997,220.309998,228.25,231.100006,235.289993,235.240005,221.669998,242.770004,4116600,3492400,3463300,9553300,10516300,241.130005,241.5,235.639999,238.100006,4962500
234.660004,236.270004,234.25,229.600006,241.130005,236.279999,237.800003,234.610001,244.600006,241.5,232,231.199997,220.309998,228.25,235.639999,235.289993,235.240005,221.669998,242.770004,238.100006,3492400,3463300,9553300,10516300,4962500,238.139999,240.5,235.059998,238.660004,3228400
236.270004,234.25,229.600006,241.130005,238.139999,237.800003,234.610001,244.600006,241.5,240.5,231.199997,220.309998,228.25,235.639999,235.059998,235.240005,221.669998,242.770004,238.100006,238.660004,3463300,9553300,10516300,4962500,3228400,242.509995,243.119995,238.75,241.699997,3775300
234.25,229.600006,241.130005,238.139999,242.509995,234.610001,244.600006,241.5,240.5,243.119995,220.309998,228.25,235.639999,235.059998,238.75,221.669998,242.770004,238.100006,238.660004,241.699997,9553300,10516300,4962500,3228400,3775300,243,247.559998,241.320007,242.589996,4203800
